Name,Sex,Event,Equipment,Age,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Bench1Kg,Bench2Kg,Bench3Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,MeetCountry,MeetState,MeetName,Federation,Date,Sanctioned
Amy Clair,F,SBD,Raw,36.0,Open,75.54,76,132.5,142.5,150.0,82.5,90.0,95.0,140.0,160.0,-167.5,405.0,1,392.97,383.29,337.07,80.08,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Ruby Olthoff,F,SBD,Raw,17.0,Sub-Junior,69.44,76,135.0,140.0,-145.0,70.0,75.0,77.5,160.0,167.5,175.0,392.5,1,398.71,392.65,346.18,81.03,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Wai Hang Wong,M,SBD,Raw,21.0,Junior,70.64,74,185.0,195.0,205.0,105.0,112.5,-117.5,200.0,210.0,217.5,535.0,1,399.35,398.16,385.71,80.47,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Jonathan Chan #2,M,SBD,Raw,23.0,Junior,81.34,83,195.0,210.0,220.0,130.0,140.0,145.0,215.0,235.0,-245.0,600.0,1,409.74,405.41,390.33,83.91,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Sung Hoon Ok,M,SBD,Raw,22.0,Junior,92.42,93,237.5,250.0,257.5,147.5,155.0,-160.0,257.5,272.5,280.0,692.5,1,441.94,436.32,417.71,90.87,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Jaek Coleman,M,SBD,Raw,23.0,Junior,87.4,93,-220.0,230.0,240.0,135.0,-142.5,-142.5,230.0,255.0,265.0,640.0,2,420.11,414.89,398.16,86.33,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Milan Grdosic,M,SBD,Raw,22.0,Junior,102.4,105,185.0,195.0,205.0,120.0,127.5,-135.0,250.0,-267.5,-267.5,582.5,1,354.94,351.26,335.41,72.77,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Yao Alexandre Kpade,M,SBD,Raw,19.0,Junior,97.42,105,-200.0,-200.0,-212.5,140.0,147.5,152.5,195.0,210.0,-217.5,,DQ,,,,,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
John Holland,M,SBD,Raw,76.0,Masters 4,91.26,93,90.0,95.0,-100.0,90.0,95.0,100.0,130.0,145.0,155.0,350.0,1,224.75,221.89,212.53,46.21,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Paul Leikas,M,SBD,Raw,28.0,Special Olympics,65.84,66,-45.0,45.0,55.0,50.0,-60.0,-60.0,65.0,-75.0,-75.0,170.0,1,133.44,133.75,129.98,26.53,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Ben Paior-Smith,M,SBD,Raw,24.0,Special Olympics,90.4,93,75.0,95.0,100.0,55.0,70.0,75.0,75.0,95.0,-105.0,270.0,1,174.19,171.98,164.79,35.82,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
William Turner #4,M,SBD,Raw,25.0,Special Olympics,131.52,120+,150.0,-170.0,-170.0,100.0,107.5,112.5,145.0,-160.0,160.0,422.5,1,235.75,238.47,227.65,47.24,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Keiya Shigematsu,M,SBD,Raw,25.0,Open,70.16,74,177.5,190.0,195.0,127.5,135.0,140.0,190.0,205.0,-220.0,540.0,1,404.98,403.96,391.45,81.51,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Paul Tran,M,SBD,Raw,24.0,Open,73.04,74,160.0,172.5,177.5,105.0,112.5,120.0,200.0,212.5,222.5,520.0,2,379.53,377.56,365.22,76.86,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Tony Nguyen #12,M,SBD,Raw,29.0,Open,73.5,74,-140.0,140.0,150.0,110.0,-120.0,-120.0,-190.0,190.0,195.0,455.0,3,330.72,328.87,318.04,67.03,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Yi Hu,M,SBD,Raw,23.0,Open,81.84,83,215.0,230.0,240.0,132.5,137.5,140.0,265.0,285.0,300.0,680.0,1,462.74,457.75,440.6,94.8,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Yiannis Papazis,M,SBD,Raw,29.0,Open,82.44,83,190.0,-205.0,-210.0,140.0,147.5,155.0,230.0,250.0,262.5,607.5,2,411.69,407.15,391.77,84.38,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Darvann Hean,M,SBD,Raw,25.0,Open,82.66,83,200.0,215.0,-220.0,125.0,135.0,-142.5,220.0,235.0,245.0,595.0,3,402.61,398.13,383.05,82.53,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Stephen Nguyen,M,SBD,Raw,24.0,Open,82.42,83,180.0,190.0,200.0,-140.0,-140.0,140.0,240.0,-255.0,-260.0,580.0,4,393.1,388.77,374.09,80.57,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Jonathan Caruso,M,SBD,Raw,31.0,Open,92.98,93,225.0,250.0,-275.0,170.0,180.0,185.0,255.0,270.0,295.0,730.0,1,464.51,458.63,438.96,95.51,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Aaron Urbani,M,SBD,Raw,23.0,Open,92.08,93,237.5,255.0,265.0,150.0,155.0,160.0,237.5,255.0,265.0,690.0,2,441.13,435.52,417.0,90.71,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Maxwell Tabart,M,SBD,Raw,26.0,Open,92.5,93,195.0,210.0,-217.5,122.5,130.0,-135.0,235.0,250.0,-260.0,590.0,3,376.37,371.59,355.72,77.39,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Dominic Archer,M,SBD,Raw,26.0,Open,102.46,105,240.0,260.0,275.0,165.0,-175.0,175.0,255.0,280.0,-300.0,730.0,1,444.71,440.11,420.25,91.17,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Josh Brennan,M,SBD,Raw,18.0,Sub-Junior,54.44,59,120.0,130.0,140.0,67.5,-72.5,72.5,157.5,165.0,175.0,387.5,1,355.7,362.78,356.29,66.95,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Jeremiah Lepore,M,B,Raw,17.0,Sub-Junior,81.4,83,,,,115.0,120.0,125.0,,,,125.0,1,85.33,84.42,81.28,63.42,Yes,Australia,SA,AUPC Powerlifting Open,APLA,2024-10-20,Yes
Cheryl Jones,F,SBD,Single-ply,,Open,43.35,44,112.5,120.0,125.0,57.5,62.5,-65.0,125.0,130.0,-135.0,317.5,1,442.35,451.48,405.65,74.13,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Hisako Yoshida,F,SBD,Single-ply,31.5,Open,43.35,44,105.0,115.0,-120.0,45.0,47.5,50.0,117.5,130.0,-135.0,295.0,2,411.01,419.49,376.9,68.88,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Glenda Bottica,F,SBD,Single-ply,,Open,43.65,44,100.0,105.0,-107.5,-52.5,-52.5,57.5,130.0,-132.5,132.5,295.0,3,408.82,417.59,374.9,68.49,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Anna-Liisa Prinkkala,F,SBD,Single-ply,27.5,Open,42.95,44,115.0,-122.5,122.5,45.0,50.0,-52.5,120.0,-125.0,-125.0,292.5,4,410.47,418.44,376.39,68.82,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Jane White,F,SBD,Single-ply,,Open,42.8,44,95.0,-102.5,-102.5,50.0,55.0,57.5,100.0,110.0,-117.5,262.5,5,369.37,376.37,338.7,61.94,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Andrea Lam,F,SBD,Single-ply,,Open,43.4,44,87.5,92.5,95.0,40.0,42.5,-45.0,102.5,112.5,-117.5,250.0,6,348.0,355.23,319.13,58.32,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Diana Rowell,F,SBD,Single-ply,,Open,47.85,48,125.0,132.5,-140.0,52.5,55.0,-57.5,155.0,167.5,-172.5,355.0,1,459.16,471.25,419.54,76.75,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Joelle Smal,F,SBD,Single-ply,36.5,Open,47.4,48,115.0,120.0,-125.0,57.5,60.0,-62.5,140.0,145.0,150.0,330.0,2,429.79,441.1,392.96,71.85,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Kazue Imai,F,SBD,Single-ply,,Open,47.7,48,110.0,125.0,130.0,52.5,57.5,-60.0,110.0,-120.0,-120.0,297.5,3,385.67,395.83,352.47,64.47,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Erica Muir,F,SBD,Single-ply,,Open,47.6,48,112.5,-117.5,-117.5,47.5,52.5,55.0,112.5,117.5,-120.0,285.0,4,370.04,379.78,338.23,61.85,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Suzanne Smith #3,F,SBD,Single-ply,16.5,Open,46.7,48,-105.0,105.0,-112.5,62.5,-67.5,67.5,105.0,110.0,-115.0,282.5,5,371.99,381.69,340.42,62.2,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Kali Bogias,F,SBD,Single-ply,,Open,51.45,52,135.0,140.0,145.0,77.5,80.0,82.5,150.0,160.0,-165.0,387.5,1,475.84,487.05,431.91,79.5,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Sue Jordan,F,SBD,Single-ply,,Open,50.4,52,140.0,147.5,152.5,65.0,70.0,-72.5,150.0,160.0,-167.5,382.5,2,476.57,488.41,433.51,79.62,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Grete Gangnæs,F,SBD,Single-ply,20.5,Open,50.9,52,115.0,-122.5,122.5,60.0,65.0,67.5,130.0,-135.0,-135.0,320.0,3,395.93,405.54,359.79,66.15,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Lee Steggles,F,SBD,Single-ply,20.0,Open,51.55,52,-110.0,110.0,-115.0,55.0,60.0,-62.5,125.0,130.0,-135.0,300.0,4,367.89,376.51,333.85,61.47,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Teresa May,F,SBD,Single-ply,,Open,50.45,52,110.0,-117.5,-117.5,47.5,50.0,-52.5,132.5,137.5,-140.0,297.5,5,370.41,379.59,336.91,61.88,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Jan Moir,F,SBD,Single-ply,42.5,Open,51.7,52,105.0,-115.0,-115.0,50.0,-55.0,-57.5,127.5,132.5,-140.0,287.5,6,351.85,360.01,319.19,58.79,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Nobuko Watanabe,F,SBD,Single-ply,,Open,51.5,52,80.0,-95.0,-100.0,37.5,-42.5,-42.5,-100.0,100.0,-110.0,217.5,7,266.9,273.17,242.23,44.59,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Vicky Steenrod,F,SBD,Single-ply,33.0,Open,51.3,52,-137.5,-137.5,-137.5,,,,,,,,DQ,,,,,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Julie Thomas,F,SBD,Single-ply,,Open,54.75,56,157.5,-167.5,-167.5,102.5,-107.5,-107.5,160.0,180.0,-185.0,440.0,1,517.75,526.95,466.34,86.55,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Elina Sorakunnas,F,SBD,Single-ply,,Open,54.9,56,135.0,142.5,147.5,60.0,65.0,-67.5,135.0,145.0,155.0,367.5,2,431.65,439.18,388.64,72.16,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Umeyo Kunihiro,F,SBD,Single-ply,29.5,Open,55.9,56,115.0,130.0,135.0,70.0,-75.0,-75.0,150.0,-165.0,-165.0,355.0,3,411.97,418.28,370.0,68.9,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Christine Saunders,F,SBD,Single-ply,,Open,56.0,56,127.5,-137.5,-137.5,62.5,67.5,-72.5,135.0,147.5,-152.5,342.5,4,397.0,402.99,356.46,66.39,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Donna Mears #1,F,SBD,Single-ply,,Open,54.5,56,122.5,132.5,-137.5,47.5,-55.0,-55.0,135.0,145.0,152.5,332.5,5,392.46,399.63,353.71,65.6,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Linda Vickers,F,SBD,Single-ply,,Open,54.75,56,115.0,125.0,-130.0,60.0,62.5,-65.0,140.0,-150.0,-150.0,327.5,6,385.37,392.22,347.11,64.42,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Marc Devriers,F,SBD,Single-ply,,Open,54.3,56,105.0,120.0,-132.5,-55.0,55.0,60.0,110.0,-125.0,-125.0,290.0,7,343.15,349.56,309.42,57.36,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Angela Lam,F,SBD,Single-ply,,Open,54.35,56,-100.0,107.5,112.5,45.0,47.5,-50.0,112.5,122.5,-130.0,282.5,8,334.07,340.27,301.19,55.84,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Ruthi Shafer,F,SBD,Single-ply,25.5,Open,59.3,60,187.5,-200.0,200.0,82.5,87.5,-92.5,195.0,205.0,212.5,500.0,1,558.41,562.54,497.12,93.53,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Cathy Millen,F,SBD,Single-ply,15.5,Open,59.45,60,127.5,135.0,137.5,67.5,72.5,-75.0,170.0,180.0,-185.0,390.0,2,434.86,437.92,386.98,72.84,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Rita Bass,F,SBD,Single-ply,,Open,59.45,60,137.5,-147.5,-147.5,70.0,-75.0,75.0,150.0,162.5,-177.5,375.0,3,418.14,421.08,372.09,70.04,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Astrid Åsbø,F,SBD,Single-ply,,Open,58.95,60,130.0,137.5,140.0,62.5,-67.5,-67.5,140.0,155.0,-160.0,357.5,4,400.77,404.08,357.11,67.11,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Anna-Maija Yliluoma,F,SBD,Single-ply,,Open,59.45,60,-130.0,-135.0,135.0,-70.0,70.0,-72.5,140.0,150.0,152.5,357.5,5,398.62,401.43,354.73,66.77,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Janet Deputer,F,SBD,Single-ply,,Open,59.35,60,90.0,-100.0,-100.0,47.5,-52.5,-52.5,110.0,120.0,,257.5,6,287.43,289.52,255.84,48.14,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Linda Miller #1,F,SBD,Single-ply,,Open,67.3,67.5,157.5,-167.5,167.5,77.5,82.5,85.0,177.5,182.5,,435.0,1,449.86,444.92,392.5,75.75,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Heidi Wittesch,F,SBD,Single-ply,25.5,Open,67.1,67.5,-165.0,170.0,175.0,-82.5,82.5,87.5,165.0,-175.0,-175.0,427.5,2,442.87,438.18,386.58,74.56,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Donna Webb,F,SBD,Single-ply,17.5,Open,62.5,67.5,140.0,150.0,-162.5,65.0,-70.0,-70.0,150.0,160.0,175.0,390.0,3,421.5,421.38,372.13,70.73,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Angie Rountree,F,SBD,Single-ply,,Open,63.75,67.5,140.0,147.5,152.5,62.5,-70.0,-70.0,165.0,-175.0,-175.0,380.0,4,405.77,404.48,357.11,68.15,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Debra Poston,F,SBD,Single-ply,,Open,66.45,67.5,177.5,185.0,,-100.0,-100.0,-100.0,,,,,DQ,,,,,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Pam Matthews,F,SBD,Single-ply,,Open,74.5,75,170.0,177.5,-182.5,95.0,102.5,-107.5,190.0,207.5,,487.5,1,476.5,465.39,409.48,80.72,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Jennifer Weyland,F,SBD,Single-ply,,Open,74.1,75,152.5,167.5,180.0,107.5,117.5,122.5,165.0,175.0,182.5,485.0,2,475.42,464.59,408.86,80.51,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Wanda Wilson,F,SBD,Single-ply,,Open,73.0,75,137.5,-152.5,-160.0,67.5,72.5,75.0,160.0,-185.0,-185.0,372.5,3,368.09,360.29,317.22,62.27,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Bev Francis,F,SBD,Single-ply,28.0,Open,80.05,82.5,200.0,217.5,-222.5,137.5,145.0,-152.5,190.0,205.0,215.0,577.5,1,543.98,528.23,463.24,92.63,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Judith Oakes,F,SBD,Single-ply,24.5,Open,76.85,82.5,185.0,197.5,205.0,105.0,110.0,112.5,190.0,-210.0,-210.0,507.5,2,488.04,475.29,417.67,82.85,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Lou Ann Smith,F,SBD,Single-ply,,Open,82.5,82.5,165.0,172.5,-180.0,87.5,92.5,-95.0,160.0,167.5,172.5,437.5,3,406.06,393.74,344.65,69.3,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Helen Hinchcliffe,F,SBD,Single-ply,,Open,77.9,82.5,110.0,117.5,125.0,55.0,60.0,-62.5,125.0,-137.5,,310.0,4,296.04,288.0,252.92,50.31,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Gael Martin,F,SBD,Single-ply,,Open,87.15,90,200.0,-212.5,212.5,115.0,120.0,-122.5,180.0,192.5,-200.0,525.0,1,474.87,460.02,401.01,81.4,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Maris Sternberg,F,SBD,Single-ply,34.5,Open,88.4,90,175.0,185.0,192.5,87.5,95.0,100.0,160.0,172.5,180.0,472.5,2,424.63,411.4,358.19,72.88,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Jackie Jackson,F,SBD,Single-ply,,Open,85.9,90,155.0,160.0,167.5,75.0,80.0,82.5,157.5,165.0,172.5,422.5,3,384.7,372.69,325.27,65.87,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Janis Kerr,F,SBD,Single-ply,,Open,88.6,90,150.0,-155.0,-155.0,87.5,92.5,95.0,160.0,170.0,-182.5,415.0,4,372.57,360.98,314.22,63.96,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Wanda Sander,F,SBD,Single-ply,20.5,Open,98.0,90+,175.0,192.5,202.5,92.5,102.5,110.0,182.5,210.0,-232.5,522.5,1,449.44,437.7,376.96,77.83,Yes,Australia,SA,Women's World Powerlifting Championships,IPF,1983-05-07,Yes
Taylor Eglinton,F,SBD,Raw,23.5,Open,61.2,63,92.5,100.0,112.5,50.0,55.0,-60.0,110.0,117.5,122.5,290.0,1,317.51,318.41,281.26,64.67,Yes,Australia,SA,Adelaide Open III,PA,2016-11-19,Yes
Tara-Jane Hill,F,SBD,Raw,23.5,Open,59.1,63,-92.5,92.5,107.5,45.0,50.0,-55.0,105.0,112.5,117.5,275.0,2,307.79,310.21,274.15,62.82,Yes,Australia,SA,Adelaide Open III,PA,2016-11-19,Yes
Jack Zadow,M,SBD,Raw,24.5,Open,82.8,83,205.0,217.5,225.0,115.0,122.5,127.5,220.0,237.5,247.5,600.0,1,405.6,401.07,385.85,83.16,Yes,Australia,SA,Adelaide Open III,PA,2016-11-19,Yes
Joel Ridings,M,SBD,Raw,26.5,Open,91.8,93,160.0,-210.0,-260.0,140.0,175.0,-185.0,160.0,240.0,-265.0,575.0,1,368.16,363.47,348.06,75.7,Yes,Australia,SA,Adelaide Open III,PA,2016-11-19,Yes
Paul Blaze,M,SBD,Raw,19.0,Open,95.1,105,210.0,222.5,232.5,137.5,145.0,150.0,212.5,225.0,235.0,617.5,1,388.76,383.92,367.15,79.91,Yes,Australia,SA,Adelaide Open III,PA,2016-11-19,Yes
Pieter Uys,M,SBD,Raw,29.5,Open,93.3,105,182.5,190.0,202.5,132.5,142.5,-147.5,222.5,237.5,-255.0,582.5,2,370.04,365.36,349.65,76.08,Yes,Australia,SA,Adelaide Open III,PA,2016-11-19,Yes
Ian Rae,M,SBD,Raw,32.5,Open,139.6,120+,-210.0,210.0,227.5,135.0,140.0,150.0,215.0,230.0,235.0,612.5,1,335.93,342.42,325.54,66.84,Yes,Australia,SA,Adelaide Open III,PA,2016-11-19,Yes
Abraham Solomon,M,SBD,Raw,26.5,Open,133.1,120+,-80.0,-80.0,80.0,40.0,65.0,-90.0,80.0,120.0,-155.0,265.0,2,147.35,149.27,142.38,29.48,Yes,Australia,SA,Adelaide Open III,PA,2016-11-19,Yes
Jaimie Clarke,M,B,Raw,34.0,Open,58.3,59,,,,90.0,-97.5,97.5,,,,97.5,1,84.29,85.4,83.53,59.22,Yes,Australia,SA,Adelaide Open III,PA,2016-11-19,Yes
Laurie Bates,M,B,Raw,31.0,Open,81.7,83,,,,-180.0,-180.0,-200.0,,,,,DQ,,,,,Yes,Australia,SA,Adelaide Open III,PA,2016-11-19,Yes
Donna Jaensch,F,B,Single-ply,26.5,Open,,90+,,,,,,,,,,75.0,1,,,,,Yes,Australia,SA,Bill Fox Memorial,PA,2000-01-01,Yes
Dean Jenkinson,M,SB,Single-ply,30.0,Open,75.0,75,,,,,,,,,,310.0,1,222.4,220.89,213.44,,Yes,Australia,SA,Bill Fox Memorial,PA,2000-01-01,Yes
Laurie Agius,M,B,Single-ply,,Masters 1,75.0,75,,,,,,,,,,157.5,1,112.99,112.23,108.44,60.64,Yes,Australia,SA,Bill Fox Memorial,PA,2000-01-01,Yes
Troy Frisby,M,B,Single-ply,,Juniors,82.5,82.5,,,,,,,,,,85.0,1,57.58,56.94,54.79,30.39,Yes,Australia,SA,Bill Fox Memorial,PA,2000-01-01,Yes
Sean Simpson #1,M,SB,Single-ply,,Open,82.5,82.5,,,,,,,,,,240.0,1,162.57,160.78,154.7,,Yes,Australia,SA,Bill Fox Memorial,PA,2000-01-01,Yes
David Manhire,M,B,Single-ply,,Open,82.5,82.5,,,,,,,,,,142.5,1,96.53,95.46,91.85,50.94,Yes,Australia,SA,Bill Fox Memorial,PA,2000-01-01,Yes
Jim Economos,M,B,Single-ply,,Masters 1,90.0,90,,,,,,,,,,152.5,1,98.61,97.36,93.31,51.44,Yes,Australia,SA,Bill Fox Memorial,PA,2000-01-01,Yes
David Thomas #11,M,B,Single-ply,,Masters 1,100.0,100,,,,,,,,,,135.0,1,83.09,82.16,78.47,42.92,Yes,Australia,SA,Bill Fox Memorial,PA,2000-01-01,Yes
Kevin Conway,M,B,Single-ply,41.0,Masters 1,110.0,110,,,,,,,,,,125.0,1,74.03,73.56,70.31,38.02,Yes,Australia,SA,Bill Fox Memorial,PA,2000-01-01,Yes
James Harrap,M,SB,Single-ply,,Masters 1,100.0,100,,,,,,,,,,322.5,1,198.5,196.27,187.46,,Yes,Australia,SA,Bill Fox Memorial,PA,2000-01-01,Yes
Alliane Ramirez,F,SBD,Raw,21.5,Open,62.54,64,105.0,110.0,118.0,40.0,45.0,-48.0,110.0,120.0,130.0,293.0,1,316.54,316.42,279.43,64.41,Yes,Australia,SA,Ethos Strength Open II,PA,2021-01-24,Yes
Julie Coles,F,SBD,Raw,,Open,62.86,64,63.0,65.0,68.0,33.0,35.0,,85.0,87.0,90.0,193.0,2,207.86,207.62,183.34,42.29,Yes,Australia,SA,Ethos Strength Open II,PA,2021-01-24,Yes
Thu Nguyen,F,SBD,Raw,,Open,70.08,72,112.0,121.0,127.0,65.0,-70.0,-70.0,120.0,127.0,140.0,332.0,1,335.52,330.03,290.91,68.2,Yes,Australia,SA,Ethos Strength Open II,PA,2021-01-24,Yes
Tamara Russell,F,SBD,Raw,,Open,66.76,72,60.0,68.0,-75.0,52.0,58.0,-61.0,85.0,92.0,95.0,221.0,2,229.62,227.36,200.6,46.66,Yes,Australia,SA,Ethos Strength Open II,PA,2021-01-24,Yes
Allison Gray #2,F,SBD,Raw,23.0,Open,82.54,84,110.0,120.0,130.0,55.0,65.0,-70.0,115.0,130.0,145.0,340.0,1,315.49,305.91,267.77,64.66,Yes,Australia,SA,Ethos Strength Open II,PA,2021-01-24,Yes
Rebecca Fidler,F,SBD,Raw,,Open,85.84,100,75.0,85.0,95.0,40.0,-46.0,46.0,100.0,110.0,115.0,256.0,1,233.17,225.89,197.16,47.95,Yes,Australia,SA,Ethos Strength Open II,PA,2021-01-24,Yes
Brendan Seaman,M,SBD,Raw,25.5,Open,83.3,85,135.0,147.0,155.0,100.0,110.0,120.0,155.0,165.0,175.0,450.0,1,303.18,299.74,288.28,62.18,Yes,Australia,SA,Ethos Strength Open II,PA,2021-01-24,Yes
Mark Ennis,M,SBD,Raw,,Open,81.4,85,150.0,162.0,172.0,85.0,92.0,-105.0,165.0,175.0,185.0,449.0,2,306.49,303.24,291.96,62.77,Yes,Australia,SA,Ethos Strength Open II,PA,2021-01-24,Yes
Matej Bacic,M,SBD,Raw,,Open,82.2,85,-120.0,130.0,143.0,95.0,102.0,-110.0,125.0,135.0,145.0,390.0,3,264.73,261.84,251.98,54.25,Yes,Australia,SA,Ethos Strength Open II,PA,2021-01-24,Yes
Lawson Daly,M,SBD,Raw,,Open,89.75,94,180.0,195.0,207.0,127.0,133.0,-138.0,190.0,205.0,213.0,553.0,1,358.07,353.53,338.87,73.62,Yes,Australia,SA,Ethos Strength Open II,PA,2021-01-24,Yes
Nathan Tingay,M,SBD,Raw,,Open,91.6,94,150.0,165.0,185.0,97.0,110.0,120.0,185.0,200.0,220.0,525.0,2,336.5,332.22,318.16,69.19,Yes,Australia,SA,Ethos Strength Open II,PA,2021-01-24,Yes
Matthew Reimers,M,SBD,Raw,42.0,Open,102.25,105,115.0,125.0,135.0,115.0,123.0,-128.0,230.0,240.0,250.0,508.0,1,309.73,306.5,292.67,63.5,Yes,Australia,SA,Ethos Strength Open II,PA,2021-01-24,Yes
Adam Tripodi,M,SBD,Raw,32.5,Open,130.65,120+,170.0,190.0,205.0,140.0,150.0,157.0,225.0,232.0,-240.0,594.0,1,332.11,335.66,320.56,66.59,Yes,Australia,SA,Ethos Strength Open II,PA,2021-01-24,Yes
Erin Pedder,F,B,Raw,,Open,50.7,53,,,,50.0,55.0,58.0,,,,58.0,1,71.96,73.73,65.42,56.83,Yes,Australia,SA,Ethos Strength Open II,PA,2021-01-24,Yes
